Mortgage ID,Joint Life,Age 1,Gender 1,Life 1 Status Change Date,Age 2,Gender 2,Life 2 Status Change Date,LTV,AER,Loan Amount,Completion Date,Servicing Fee,Portfolio,Valuation Date
3196,Single,71,Male,,,,,0.319095188,0.045106504,179344.4,43504,0.0015,Internal,45657
3197,Joint Life,76,Male,,72,Female,,0.370800636,0.048547881,126141.7,43504,0.0015,Internal,45657
3198,Joint Life,71,Male,,68,Female,,0.316528476,0.048547881,127287.62,43515,0.0015,Internal,45657
3199,Joint Life,70,Male,,69,Female,,0.271346014,0.045106504,102800.9,43524,0.0015,Internal,45657
3200,Joint Life,73,Female,,71,Male,,0.341380234,0.048547881,178618.99,43531,0.0015,Internal,45657
3201,Joint Life,78,Male,,75,Female,,0.413187878,0.052628355,168520.64,43501,0.0015,Internal,45657
3202,Joint Life,72,Female,,74,Male,,0.359970059,0.048547881,44550.63,43515,0.0015,Internal,45657
3203,Joint Life,73,Male,,71,Female,,0.296924848,0.037231814,123274.05,43543,0.0015,Internal,45657
3204,Single,85,Female,,,,,0.44680692,0.045106504,48682.61,43508,0.0015,Internal,45657
3205,Joint Life,75,Male,,72,Female,,0.359578536,0.048547881,126955.78,43511,0.0015,Internal,45657
3206,Joint Life,67,Male,,65,Female,,0.23834487,0.045106504,62899.69,43502,0.0015,Internal,45657
3207,Joint Life,80,Male,,120,Female,44507,0.285731514,0.048547881,77695.63,43579,0.0015,Internal,45657
3208,Joint Life,78,Male,,76,Female,,0.463681066,0.050565673,308693.8,43507,0.0015,Internal,45657
3209,Single,74,Female,,,,,0.34630327,0.048547881,53167.48,43496,0.0015,Internal,45657
3210,Joint Life,76,Male,,76,Female,,0.429804005,0.048547881,688161.33,43500,0.0015,Internal,45657
3211,Joint Life,85,Male,,120,Female,45537,0.447824126,0.048547881,79056.25,43515,0.0015,Internal,45657
3212,Joint Life,77,Male,,65,Female,,0.271121438,0.050115575,121904.97,43521,0.0015,Internal,45657
3213,Joint Life,66,Female,,69,Male,,0.246325653,0.045106504,52015.34,43514,0.0015,Internal,45657
3214,Single,64,Female,,,,,0.2405305,0.045627258,44989.39,43552,0.0015,Internal,45657
3215,Joint Life,71,Male,,68,Female,,0.200225875,0.044377847,206327.66,43572,0.0015,Internal,45657
3216,Single,69,Female,,,,,0.313935985,0.047503944,68969.77,43571,0.0015,Internal,45657
3217,Joint Life,70,Female,,96,Male,,0.25706644,0.045106504,80532.31,43570,0.0015,Internal,45657
3218,Joint Life,72,Male,,70,Female,,0.319465245,0.045106504,109600.25,43496,0.0015,Internal,45657
3219,Joint Life,70,Male,,73,Female,,0.292473371,0.045106504,71685.42,43495,0.0015,Internal,45657
3220,Joint Life,73,Male,,67,Female,,0.211445912,0.045106504,310635.1,43542,0.0015,Internal,45657
3221,Joint Life,70,Male,,64,Female,,0.188157041,0.045627258,64741.24,43524,0.0015,Internal,45657
3222,Joint Life,68,Male,,69,Female,,0.340632901,0.052104405,97395.33,43516,0.0015,Internal,45657
3223,Joint Life,83,Male,,71,Female,,0.293349575,0.039864487,207619.52,43503,0.0015,Internal,45657
3224,Single,64,Female,,,,,0.239355279,0.045627258,43548.4,43521,0.0015,Internal,45657
3225,Joint Life,74,Male,,74,Female,,0.362845746,0.045106504,954424.64,43537,0.0015,Internal,45657
3226,Single,66,Male,,,,,0.251706406,0.045106504,52046.78,43509,0.0015,Internal,45657
3227,Joint Life,82,Male,,79,Female,,0.387935987,0.048547881,151128.69,43523,0.0015,Internal,45657
3228,Joint Life,76,Male,,73,Female,,0.296069771,0.048547881,219092.26,43573,0.0015,Internal,45657
